rectangle_type,num_points,computed_area,relative_error
narrow,39600,0.950155,0.00596851
wide,40100,0.942635,0.00199272
narrow,40100,0.945834,0.0013946
wide,40600,0.941563,0.00312822
narrow,40600,0.944807,0.000306729
wide,41100,0.935312,0.00974586
narrow,41100,0.945283,0.000810508
wide,41600,0.937625,0.00729681
narrow,41600,0.941742,0.00293788
wide,42100,0.942193,0.00246098
narrow,42100,0.940055,0.00472419
wide,42600,0.942545,0.00208792
narrow,42600,0.945953,0.00152021
wide,43100,0.925971,0.0196352
narrow,43100,0.951305,0.00718641
wide,43600,0.954152,0.0102006
narrow,43600,0.943048,0.0015558
wide,44100,0.941129,0.00358699
narrow,44100,0.950356,0.00618133
wide,44600,0.939952,0.00483357
narrow,44600,0.944228,0.000306382
wide,45100,0.929315,0.0160947
narrow,45100,0.947971,0.00365641
wide,45600,0.953025,0.00900776
narrow,45600,0.946646,0.00225346
wide,46100,0.973901,0.0311096
narrow,46100,0.938844,0.00600617
wide,46600,0.956149,0.0123152
narrow,46600,0.951778,0.00768699
wide,47100,0.959829,0.016211
narrow,47100,0.949081,0.00483201
wide,47600,0.95567,0.0118076
narrow,47600,0.943394,0.00118904
wide,48100,0.932395,0.012834
narrow,48100,0.9419,0.0027707
wide,48600,0.943607,0.000963323
narrow,48600,0.940518,0.00423443
wide,49100,0.944097,0.000445267
narrow,49100,0.941678,0.00300575
wide,49600,0.983582,0.0413598
narrow,49600,0.939733,0.00506515
wide,50100,0.934567,0.0105347
narrow,50100,0.942208,0.00244443
wide,50600,0.977401,0.0348158
narrow,50600,0.94723,0.00287221
wide,51100,0.957754,0.0140144
narrow,51100,0.944904,0.000409652
wide,51600,0.943386,0.00119728
narrow,51600,0.939584,0.00522245
wide,52100,0.932653,0.0125608
narrow,52100,0.945578,0.00112285
wide,52600,0.943934,0.000617042
narrow,52600,0.942961,0.00164737
wide,53100,0.939623,0.00518127
narrow,53100,0.947998,0.00368501
wide,53600,0.933579,0.0115807
narrow,53600,0.940983,0.00374196
wide,54100,0.92531,0.0203353
narrow,54100,0.949676,0.00546202
wide,54600,0.952983,0.00896311
narrow,54600,0.942918,0.00169318
wide,55100,0.958804,0.0151258
narrow,55100,0.944215,0.000320062
wide,55600,0.950181,0.00599696
narrow,55600,0.950635,0.00647745
wide,56100,0.960776,0.0172137
narrow,56100,0.943595,0.000976347
wide,56600,0.959674,0.0160476
narrow,56600,0.942428,0.00221237
wide,57100,0.949568,0.00534787
narrow,57100,0.940045,0.00473507
wide,57600,0.94487,0.000373632
narrow,57600,0.946687,0.00229707
wide,58100,0.94544,0.000977098
narrow,58100,0.9436,0.000971063
wide,58600,0.965909,0.0226486
narrow,58600,0.948292,0.00399671
wide,59100,0.946058,0.0016309
narrow,59100,0.948395,0.00410517
wide,59600,0.931596,0.0136803
narrow,59600,0.942707,0.00191611
wide,60100,0.93711,0.0078419
narrow,60100,0.944974,0.000484046
wide,60600,0.934191,0.0109324
narrow,60600,0.937792,0.00712015
wide,61100,0.946596,0.00220043
narrow,61100,0.946061,0.00163438
wide,61600,0.936703,0.00827369
narrow,61600,0.946305,0.00189235
wide,62100,0.933075,0.0121148
narrow,62100,0.939317,0.00550609
wide,62600,0.922826,0.022965
narrow,62600,0.942866,0.0017477
wide,63100,0.956498,0.0126845
narrow,63100,0.953038,0.00902172
wide,63600,0.941029,0.00369268
narrow,63600,0.944591,7.76906e-05
wide,64100,0.944913,0.000418796
narrow,64100,0.947894,0.00357509
wide,64600,0.936997,0.00796174
narrow,64600,0.942226,0.00242577
wide,65100,0.95041,0.00623868
narrow,65100,0.939987,0.0047962
wide,65600,0.969991,0.0269697
narrow,65600,0.951526,0.00742076
wide,66100,0.917205,0.0289167
narrow,66100,0.943439,0.00114149
wide,66600,0.939369,0.00545109
narrow,66600,0.949011,0.00475759
wide,67100,0.946858,0.00247811
narrow,67100,0.944977,0.000486877
wide,67600,0.955674,0.0118127
narrow,67600,0.940307,0.00445739
wide,68100,0.935666,0.00937074
narrow,68100,0.946384,0.001976
wide,68600,0.909431,0.0371475
narrow,68600,0.937286,0.00765626
wide,69100,0.940698,0.004044
narrow,69100,0.943722,0.000842359
wide,69600,0.943578,0.000994362
narrow,69600,0.946404,0.00199767
wide,70100,0.939899,0.00488954
narrow,70100,0.943959,0.00059046
wide,70600,0.93338,0.0117913
narrow,70600,0.94427,0.000261436
wide,71100,0.95895,0.0152805
narrow,71100,0.9408,0.00393554
wide,71600,0.932293,0.0129422
narrow,71600,0.946165,0.00174499
wide,72100,0.938773,0.00608195
narrow,72100,0.944361,0.000165186
wide,72600,0.919987,0.0259709
narrow,72600,0.946928,0.00255283
wide,73100,0.944284,0.000246813
narrow,73100,0.941497,0.00319746
wide,73600,0.942889,0.00172417
narrow,73600,0.952118,0.00804723
wide,74100,0.954239,0.0102927
narrow,74100,0.947571,0.00323361
wide,74600,0.967783,0.0246321
narrow,74600,0.944583,7.00804e-05
wide,75100,0.952925,0.00890136
narrow,75100,0.946202,0.0017842
wide,75600,0.924889,0.0207813
narrow,75600,0.94697,0.00259729
wide,76100,0.948196,0.0038946
narrow,76100,0.943916,0.00063605
wide,76600,0.947845,0.00352308
narrow,76600,0.94579,0.00134711
wide,77100,0.934258,0.0108616
narrow,77100,0.94896,0.00470412
wide,77600,0.951542,0.00743697
narrow,77600,0.948099,0.00379273
wide,78100,0.945823,0.00138269
narrow,78100,0.941202,0.00351042
wide,78600,0.931519,0.0137616
narrow,78600,0.945239,0.000763873
wide,79100,0.931285,0.0140097
narrow,79100,0.940998,0.00372567
wide,79600,0.934717,0.0103754
narrow,79600,0.943115,0.00148501
wide,80100,0.946725,0.00233735
narrow,80100,0.94633,0.00191939
wide,80600,0.957377,0.0136153
narrow,80600,0.942575,0.00205608
wide,81100,0.938048,0.00684892
narrow,81100,0.944522,4.91151e-06
wide,81600,0.940879,0.00385214
narrow,81600,0.94265,0.00197739
wide,82100,0.945451,0.00098875
narrow,82100,0.946195,0.00177677
wide,82600,0.937021,0.00793666
narrow,82600,0.945142,0.000661912
wide,83100,0.930681,0.0146489
narrow,83100,0.948583,0.00430506
wide,83600,0.94,0.00478222
narrow,83600,0.944622,0.000110475
wide,84100,0.95048,0.00631351
narrow,84100,0.940847,0.00388619
wide,84600,0.947161,0.00279942
narrow,84600,0.940661,0.00408271
wide,85100,0.943881,0.000673381
narrow,85100,0.948539,0.0042577
wide,85600,0.952224,0.00815969
narrow,85600,0.948264,0.00396742
wide,86100,0.938903,0.00594382
narrow,86100,0.948312,0.00401794
wide,86600,0.93831,0.00657222
narrow,86600,0.942588,0.00204252
wide,87100,0.947657,0.00332437
narrow,87100,0.943905,0.000647728
wide,87600,0.948574,0.00429528
narrow,87600,0.947758,0.00343166
wide,88100,0.928514,0.0169436
narrow,88100,0.949432,0.00520353
wide,88600,0.944561,4.68861e-05
narrow,88600,0.946065,0.00163875
wide,89100,0.972541,0.0296699
narrow,89100,0.937412,0.00752219
wide,89600,0.951814,0.00772594
narrow,89600,0.947931,0.00361461
wide,90100,0.95592,0.0120728
narrow,90100,0.947261,0.0029048
wide,90600,0.935729,0.00930468
narrow,90600,0.947939,0.0036229
wide,91100,0.95055,0.00638673
narrow,91100,0.943016,0.00158934
wide,91600,0.933686,0.0114675
narrow,91600,0.945379,0.00091248
wide,92100,0.956591,0.0127827
narrow,92100,0.943013,0.00159228
wide,92600,0.941346,0.00335711
narrow,92600,0.947404,0.00305627
wide,93100,0.934724,0.0103681
narrow,93100,0.944884,0.000388584
wide,93600,0.940534,0.00421763
